software shm_open /bdbm13755 returned 3 with errno 0
bsim PCIe interface init done!
Initializing DMASplitter
Magic: c001d00d
All Init Done
		Sending read cmd
sent read req 0 0 0 0 0
sent read req 1 1 0 0 0
sent read req 2 2 0 0 0
sent read req 3 3 0 0 0
sent read req 4 4 0 0 0
sent read req 5 5 0 0 0
sent read req 6 6 0 0 0
sent read req 7 7 0 0 0
sent read req 8 0 1 0 0
sent read req 9 1 1 0 0
sent read req 10 2 1 0 0
sent read req 11 3 1 0 0
sent read req 12 4 1 0 0
sent read req 13 5 1 0 0
sent read req 14 6 1 0 0
sent read req 15 7 1 0 0
sent read req 16 0 2 0 0
sent read req 17 1 2 0 0
sent read req 18 2 2 0 0
sent read req 19 3 2 0 0
sent read req 20 4 2 0 0
sent read req 21 5 2 0 0
sent read req 22 6 2 0 0
sent read req 23 7 2 0 0
sent read req 24 0 3 0 0
sent read req 25 1 3 0 0
sent read req 26 2 3 0 0
sent read req 27 3 3 0 0
sent read req 28 4 3 0 0
sent read req 29 5 3 0 0
sent read req 30 6 3 0 0
sent read req 31 7 3 0 0
sent read req 32 0 4 0 0
sent read req 33 1 4 0 0
sent read req 34 2 4 0 0
sent read req 35 3 4 0 0
sent read req 36 4 4 0 0
sent read req 37 5 4 0 0
sent read req 38 6 4 0 0
sent read req 39 7 4 0 0
sent read req 40 0 5 0 0
sent read req 41 1 5 0 0
sent read req 42 2 5 0 0
sent read req 43 3 5 0 0
sent read req 44 4 5 0 0
sent read req 45 5 5 0 0
sent read req 46 6 5 0 0
sent read req 47 7 5 0 0
sent read req 48 0 6 0 0
sent read req 49 1 6 0 0
sent read req 50 2 6 0 0
sent read req 51 3 6 0 0
sent read req 52 4 6 0 0
sent read req 53 5 6 0 0
sent read req 54 6 6 0 0
sent read req 55 7 6 0 0
sent read req 56 0 7 0 0
sent read req 57 1 7 0 0
sent read req 58 2 7 0 0
sent read req 59 3 7 0 0
sent read req 60 4 7 0 0
sent read req 61 5 7 0 0
sent read req 62 6 7 0 0
sent read req 63 7 7 0 0
